,0
0,12.477295875549316
1,7.6287841796875
2,4.5228400230407715
3,3.0543670654296875
4,2.5745692253112793
5,1.957934021949768
6,1.2288919687271118
7,0.9554569125175476
8,0.8448270559310913
9,0.8034689426422119
10,0.7777111530303955
11,0.683196485042572
12,0.5715686082839966
13,0.46864742040634155
14,0.4109799563884735
15,0.36810827255249023
16,0.3513939380645752
17,0.35510778427124023
18,0.3356633186340332
19,0.31935593485832214
20,0.29705241322517395
21,0.30136415362358093
22,0.295055091381073
23,0.3046799302101135
24,0.29876938462257385
25,0.293928325176239
26,0.289661705493927
27,0.28755590319633484
28,0.2830193042755127
29,0.27696692943573
30,0.27568379044532776
31,0.2740120589733124
32,0.2617371082305908
33,0.26023492217063904
34,0.24946926534175873
35,0.2400389015674591
36,0.24087142944335938
37,0.24246107041835785
38,0.23477217555046082
39,0.22844938933849335
40,0.2351316511631012
41,0.22556602954864502
42,0.2278040647506714
43,0.22838550806045532
44,0.23315581679344177
45,0.22636720538139343
46,0.22747212648391724
47,0.23013243079185486
48,0.2216925472021103
49,0.22543644905090332
50,0.21765506267547607
51,0.22413070499897003
52,0.22147983312606812
53,0.2189292311668396
54,0.22433023154735565
55,0.215818852186203
56,0.20938313007354736
57,0.22608992457389832
58,0.22040396928787231
59,0.21547332406044006
60,0.20723268389701843
61,0.21036802232265472
62,0.21612998843193054
63,0.21485581994056702
64,0.20892921090126038
65,0.2007097601890564
66,0.20028871297836304
67,0.20473185181617737
68,0.21274879574775696
69,0.21002577245235443
