,id,prob,pred
34,mp-4487,0.9315322637557983,1
8,mp-5561,0.9055120944976807,1
26,mp-21420,0.8929173946380615,1
67,mp-20822,0.8766639232635498,1
31,mp-20837,0.872471809387207,1
58,mp-5058,0.872380793094635,1
75,mp-13473,0.8703438639640808,1
64,mp-20926,0.8653980493545532,1
27,mp-20448,0.8633847236633301,1
3,mp-567240,0.8530192375183105,1
16,mp-3854,0.8508604764938354,1
83,mp-13398,0.847797155380249,1
73,mp-1227304,0.8456843495368958,1
79,mp-1224949,0.844848096370697,1
36,mp-1080062,0.8431944251060486,1
65,mp-5069,0.8349423408508301,1
9,mp-1072181,0.8346104621887207,1
22,mp-1079721,0.8333274126052856,1
20,mp-20670,0.8318842649459839,1
23,mp-11252,0.8231239914894104,1
62,mp-19191,0.8220034241676331,1
51,mp-22760,0.8217350840568542,1
69,mp-2965,0.819720983505249,1
47,mp-20946,0.8164899349212646,1
59,mp-825,0.8122738003730774,1
74,mp-5423,0.8078726530075073,1
55,mp-21089,0.7960271835327148,1
57,mp-20542,0.7755933403968811,1
70,mp-20842,0.7751559019088745,1
15,mp-22256,0.7750595211982727,1
39,mp-21145,0.7684854865074158,1
80,mp-1018800,0.7651615142822266,1
85,mp-1227945,0.7543280720710754,1
13,mp-998363,0.7430320382118225,1
61,mp-1218154,0.7106468081474304,1
25,mp-5400,0.7065523862838745,1
18,mp-1206575,0.6983225345611572,1
81,mp-755708,0.6899119019508362,1
6,mp-570031,0.6751522421836853,1
7,mp-19060,0.6358957290649414,1
48,mp-1205343,0.6180226802825928,1
30,mp-19824,0.5609866976737976,1
78,mp-714944,0.5515069365501404,1
37,mp-759749,0.5427635312080383,1
53,mp-505803,0.5034103393554688,1
43,mp-1221644,0.49939313530921936,0
11,mp-19823,0.4885122776031494,0
50,mp-15608,0.44186311960220337,0
76,mp-1078286,0.4337212145328522,0
54,mp-2728,0.4007698595523834,0
66,mp-1220312,0.3548108637332916,0
4,mp-20242,0.3545092046260834,0
28,mp-571339,0.3496546149253845,0
86,mp-20869,0.2940095365047455,0
32,mp-20552,0.2648487985134125,0
10,mp-505531,0.2279350459575653,0
44,mp-1070789,0.2252769023180008,0
45,mp-1071293,0.2150154709815979,0
17,mp-1094016,0.17885567247867584,0
2,mp-20086,0.15874822437763214,0
29,mp-20422,0.15845276415348053,0
5,mp-1018739,0.15772929787635803,0
12,mp-1699,0.14356417953968048,0
41,mp-238,0.1396772414445877,0
68,mp-1206750,0.1221131682395935,0
82,mp-1670,0.1067580059170723,0
0,mp-21284,0.10608065873384476,0
72,mp-1068010,0.09976253658533096,0
35,mp-610522,0.09969553351402283,0
71,mp-1077053,0.09195107221603394,0
24,mp-1420147,0.08598650246858597,0
63,mp-1228813,0.08283042162656784,0
42,mp-1216480,0.08262958377599716,0
46,mp-771,0.07560233026742935,0
77,mp-20426,0.06791482865810394,0
84,mp-19857,0.058082401752471924,0
56,mp-1080664,0.03835638239979744,0
60,mp-12857,0.03353021293878555,0
14,mp-30409,0.029951918870210648,0
38,mp-2766475,0.025582902133464813,0
52,mp-1221683,0.019141653552651405,0
21,mp-7892,0.013479462824761868,0
19,mp-10118,0.006802510470151901,0
33,mp-1226211,0.006792790722101927,0
1,mp-1797,0.003214077092707157,0
40,mp-20664,0.0011340961791574955,0
49,mp-1009134,0.0004485537065193057,0
